time,decision
615,Information Sharing
616,Information Sharing
617,Information Sharing
618,Information Sharing
619,Information Sharing
620,Information Sharing
621,Information Sharing
622,Information Sharing
623,Information Sharing
624,Information Sharing
625,Information Sharing
626,Information Sharing
627,Information Sharing
628,Information Sharing
629,Information Sharing
630,Information Sharing
631,Information Sharing
632,Information Sharing
633,Information Sharing
634,Information Sharing
635,Information Sharing
636,Information Sharing
637,Information Sharing
638,Coordination
639,Coordination
640,Coordination
641,Coordination
642,Coordination
643,Coordination
644,Coordination
645,Coordination
646,Coordination
647,Coordination
648,Coordination
649,Coordination
